Year,Month,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Rain_Anomaly,Date
2010.0,Sep,27.1,962.1,5.0,22.3,4.9,32.6,22.3,132.9,76.0,20.6,5.4,200.0,4.0,8.507999999999996,2010-09-01
2010.0,Oct,29.0,961.2,5.0,21.2,5.2,35.6,23.3,32.5,61.0,21.5,7.4,190.0,4.0,-2.7280000000000015,2010-10-01
2010.0,Nov,27.2,960.9,3.0,11.6,6.6,36.8,17.9,0.0,22.0,22.3,7.8,50.0,5.0,-0.29600000000000004,2010-11-01
2010.0,Dec,22.9,962.5,1.0,6.899999999999999,6.3,32.3,13.5,0.0,20.0,21.8,7.6,40.0,6.0,-0.16,2010-12-01
2011.0,Jan,21.3,963.4,2.0,5.5,6.4,30.4,14.1,0.0,21.0,22.2,7.5,40.0,6.0,0.0,2011-01-01
2011.0,Feb,27.8,960.6,2.0,11.2,7.9,36.9,18.3,0.0,17.0,23.1,7.1,40.0,6.0,0.0,2011-02-01
2011.0,Mar,30.0,960.2,3.0,12.0,8.4,38.9,19.1,0.0,10.0,26.5,7.6,50.0,7.0,-0.07200000000000001,2011-03-01
2011.0,April,32.5,958.6,4.0,16.1,8.3,39.8,23.9,0.0,18.0,26.6,8.3,90.0,6.0,-20.772000000000002,2011-04-01
2011.0,May,32.6,959.6,3.0,21.0,7.0,39.7,26.2,31.6,42.0,24.5,8.0,180.0,5.0,-6.4239999999999995,2011-05-01
2011.0,June,30.6,961.4,4.0,22.200000000000003,6.0,35.9,25.3,63.4,58.0,23.4,7.2,220.0,5.0,-43.20799999999999,2011-06-01
2011.0,July,28.5,962.1,6.0,21.9,4.2,33.2,23.6,135.4,67.0,22.3,7.2,220.0,5.0,-37.70400000000001,2011-07-01
2011.0,Aug,26.6,962.6,6.0,22.0,4.0,30.5,22.3,198.9,77.0,18.9,4.6,220.0,4.0,-54.875999999999976,2011-08-01
2011.0,Sep,27.2,962.8,5.0,22.2,4.3,32.4,22.6,116.3,75.0,21.3,6.2,210.0,4.0,-8.092000000000013,2011-09-01
2011.0,Oct,27.9,961.0,4.0,18.9,4.9,34.7,20.8,22.7,55.0,22.4,8.0,160.0,4.0,-12.528000000000002,2011-10-01
2011.0,Nov,24.9,962.7,3.0,8.7,6.7,34.6,14.9,0.0,19.0,23.3,7.6,40.0,6.0,-0.29600000000000004,2011-11-01
2011.0,Dec,21.9,964.7,2.0,6.099999999999998,6.3,30.5,13.4,0.0,21.0,21.7,7.4,30.0,6.0,-0.16,2011-12-01
2012.0,Jan,22.3,964.3,2.0,6.100000000000001,6.3,31.1,13.1,0.0,19.0,22.2,7.3,40.0,6.0,0.0,2012-01-01
2012.0,Feb,27.0,960.7,4.0,9.600000000000001,7.4,36.2,18.5,0.0,13.0,23.9,7.4,40.0,6.0,0.0,2012-02-01
2012.0,Mar,28.3,961.8,3.0,10.3,9.1,36.8,19.5,0.0,10.0,26.4,8.2,50.0,7.0,-0.07200000000000001,2012-03-01
2012.0,April,32.9,958.2,5.0,17.9,8.8,41.1,25.7,0.0,25.0,25.8,8.2,160.0,5.0,-20.772000000000002,2012-04-01
2012.0,May,32.2,960.3,4.0,21.6,6.9,38.8,25.8,74.2,47.0,23.5,8.0,200.0,5.0,36.176,2012-05-01
2012.0,June,28.6,962.3,4.0,22.0,6.0,34.5,23.9,111.7,67.0,22.5,6.5,220.0,5.0,5.092000000000013,2012-06-01
2012.0,July,26.3,962.8,5.0,21.9,5.2,31.1,22.3,193.2,78.0,19.4,5.9,220.0,5.0,20.095999999999975,2012-07-01
2012.0,Aug,25.7,963.6,6.0,21.7,4.0,30.1,22.1,339.0,81.0,17.8,4.8,220.0,4.0,85.22400000000002,2012-08-01
2012.0,Sep,26.9,963.6,6.0,22.299999999999997,4.5,32.1,22.1,137.7,77.0,20.9,5.9,200.0,4.0,13.307999999999979,2012-09-01
2012.0,Oct,28.5,961.5,4.0,20.1,5.3,35.4,21.3,9.4,58.0,22.6,7.9,170.0,4.0,-25.828000000000003,2012-10-01
2012.0,Nov,26.4,962.0,2.0,11.399999999999999,6.7,35.9,16.0,2.2,25.0,22.6,8.3,60.0,5.0,1.9040000000000001,2012-11-01
2012.0,Dec,22.4,963.6,1.0,7.199999999999999,6.1,32.1,13.5,0.0,24.0,21.6,7.6,40.0,6.0,-0.16,2012-12-01
2013.0,Jan,23.4,964.1,2.0,7.799999999999999,6.4,31.9,14.0,0.0,22.0,21.3,7.3,30.0,6.0,0.0,2013-01-01
2013.0,Feb,26.0,961.8,3.0,9.0,7.5,35.4,16.5,0.0,15.0,23.9,7.4,40.0,6.0,0.0,2013-02-01
